Location,5/1/2020,5/2/2020,Location (New Added),5/5/2020,Location (New Added),5/6/2020,Location (New Added),5/7/2020,Location (New Added),5/8/2020,Location (New Added),5/9/2020,Location (New Added),5/10/2020,Location (New Added),5/11/2020,Location (New Added),5/12/2020,Location (New Added),5/14/2020,Location (New Added),5/15/2020,Location (New Added),5/16/2020,Location (New Added),5/17/2020,Location (New Added),5/18/2020,Location (New Added),5/19/2020
Kazi para,10,10,Kathalbagan,4,Kathalbagan,6,Kathalbagan,6,Kamalapur,6,Kathalbagan,7,Kakrail,176,Kakrail,176,Kakrail,176,Kakrail,176,Kalabagan,23,Kalabagan,24,Jurain,46,,,,
Kawran Bazar,10,10,Kamalapur,5,Kamalapur,6,Kamalapur,6,kajla,3,Kamalapur,6,Kathalbagan,7,Kathalbagan,8,Kathalbagan,8,Kathalbagan,8,Kakrail,176,Kakrail,254,Kafrul,9,,,,
Koratitola,1,1,kajla,3,kajla,3,kajla,3,Kamrangir Char,40,kajla,3,Kamalapur,13,Kamalapur,13,Kamalapur,14,Kamalapur,14,Kathalbagan,9,Kathalbagan,10,Kallyanpur,29,,,,
Kosaituli,1,1,Kamrangir Char,35,Kamrangir Char,37,Kamrangir Char,38,Kazi para,10,Kamrangir Char,41,kajla,3,kajla,3,kajla,3,kajla,3,Kamalapur,15,Kamalapur,15,Kalabagan,29,,,,
Kochukhet,1,1,Kazi para,10,Kazi para,10,Kazi para,10,Kawran Bazar,15,Kazi para,10,Kamrangir Char,41,Kamrangir Char,42,Kamrangir Char,42,Kamrangir Char,42,kajla,3,kajla,3,Kakrail,298,,,,
Khilgaon,35,39,Kawran Bazar,13,Kawran Bazar,14,Kawran Bazar,15,Koratitola,1,Kawran Bazar,15,Kazi para,10,Kazi para,10,Kazi para,10,Kazi para,10,Kamrangir Char,42,Kamrangir Char,42,Kathalbagan,11,,,,
Khilkhet,4,4,Koratitola,1,Koratitola,1,Koratitola,1,Kosaituli,1,Koratitola,1,Kawran Bazar,15,Kawran Bazar,15,Kawran Bazar,15,Kawran Bazar,15,Kazi para,11,Kazi para,11,Kamalapur,15,,,,
Koltabazar,1,1,Kosaituli,1,Kosaituli,1,Kosaituli,1,Kochukhet,1,Kosaituli,1,Koratitola,1,Koratitola,1,Koratitola,1,Koratitola,1,Kawran Bazar,15,Kawran Bazar,15,kajla,3,,,,
Kodomtoli,6,6,Kochukhet,1,Kochukhet,1,Kochukhet,1,Khilgaon,59,Kochukhet,1,Kosaituli,1,Kosaituli,1,Kosaituli,1,Kosaituli,1,Koratitola,1,Koratitola,1,Kamrangir Char,43,,,,
Kotowali,11,11,Khilgaon,53,Khilgaon,58,Khilgaon,58,Khilkhet,4,Khilgaon,64,Kochukhet,1,Kochukhet,3,Kochukhet,3,Kochukhet,3,Kosaituli,1,Kosaituli,1,Kazi para,11,,,,
